subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Carl Gaedicke	studied_at	University of Jena			1877	False	Windisch GSP	Aus dessen Dissertation über den Akkusativ im Rgveda, Jena 1877, ging seine größere Schrift "Der Accusativ im Veda", Breslau 1880, hervor
Charles Rieu	studied_at	University of Bonn				True	Windisch GSP	Er hatte in Bonn studiert
Christian Karl Josias von Bunsen	studied_at	University of Göttingen				True	Windisch GSP	Bunsen hat mit theologischen und philologischen Studien in Marburg und Göttingen begonnen
Christian Karl Josias von Bunsen	studied_at	University of Marburg				True	Windisch GSP	Bunsen hat mit theologischen und philologischen Studien in Marburg und Göttingen begonnen
Claude-Auguste Court	studied_at	École Spéciale Militaire de Saint-Cyr				True	Windisch GSP	Court nennt sich in der Überschrift seiner Abhandlung ... "ancien élève de l'école militaire de St. Cyr".
Erich Schröter	studied_at	University of Leipzig				True	Windisch GSP	Erich Schröter in seiner Leipziger Dissertation "Pâśakakevalî, Ein indisches Würfelorakel", Borna 1900.
Ernst Haas	studied_at	University of Berlin				True	Windisch GSP	war von der mittelalterlichen Geschichte, Grammatik und Romanistik zum Sanskrit übergegangen in Bonn, Tübingen und Berlin
Ernst Haas	studied_at	University of Bonn				True	Windisch GSP	war von der mittelalterlichen Geschichte, Grammatik und Romanistik zum Sanskrit übergegangen in Bonn, Tübingen und Berlin
Ernst Haas	studied_at	University of Tübingen			1859	True	Windisch GSP	mit der er 1859 in Tübingen promoviert hatte
Ernst Windisch	studied_at	University of Leipzig		1863	1868	True	Windisch GSP	Er studierte 1863-1868 in Leipzig klassische Philologie unter Georg Curtius und Fr. Ritschl, daneben aber auch Germanistik unter Fr. Zarncke und von Anfang an Sanskrit und Zend unter H. Brockhaus.
Ferdinand de Saussure	studied_at	University of Berlin				True	Windisch GSP	dann ein Semester in Berlin
Ferdinand de Saussure	studied_at	University of Leipzig		1876	1880	True	Windisch GSP	Hier reiht sich auch die Leipziger Dissertation von Ferdinand de Saussure ein, "De l'emploi du génitif absolu", Genève 1881
Francis Henry Trithen	studied_at	University of Berlin		1838	1840	True	Windisch GSP	Der Sohn studierte zwischen 1838 und 1840 in Berlin, bei Bopp und Anderen
Franz Bopp	studied_at	London (unspecified)				True	Windisch GSP	Bopp hat seine Studien in Paris und London gemacht.
Franz Bopp	studied_at	Paris (unspecified)		1812		True	Windisch GSP; Winternitz GIL 1	Fr. Schlegel hatte seine Sanskritstudien, ebenso wie später Bopp, in Paris gemacht
Franz Bopp	studied_at	University of Göttingen		1820	1820	True	Windisch GSP	ging er für den Winter 1820 nach Göttingen, wo er sich besonders mit Hebräisch und Arabisch beschäftigte.
Friedrich Bollensen	studied_at	University of Göttingen	Theologie			True	Windisch GSP	Bollensen studierte in Göttingen Theologie
Friedrich Haag	studied_at	University of Berlin				True	Windisch GSP	studierte in Zürich, Göttingen, Berlin
Friedrich Haag	studied_at	University of Göttingen				True	Windisch GSP	studierte in Zürich, Göttingen, Berlin
Friedrich Haag	studied_at	University of Zurich				True	Windisch GSP	studierte in Zürich, Göttingen, Berlin, und promovierte 1869 in Zürich
Friedrich Heinrich Hugo Windischmann	studied_at	University of Bonn			1833	True	Windisch GSP	mit dem ersten Teile seiner Schrift "Sancara sive de Theologumenis Vedanticorum", Bonn 1833, in Bonn promoviert hatte.
Friedrich Max Müller	studied_at	Alte Nikolaischule				True	Windisch GSP	besuchte er die Nikolaischule in Leipzig unter Nobbe
Friedrich Max Müller	studied_at	University of Berlin		1844		True	Windisch GSP	Um Bopp und Schelling zu hören, ging er im Jahre 1844 nach Berlin
Friedrich Max Müller	studied_at	University of Leipzig			1843	True	Windisch GSP	studierte dann an der dortigen Universität klassische Philologie bei Gottfried Hermann, Haupt, Westermann, Klotz.
Friedrich Schlegel	studied_at	Paris (unspecified)		1803	1804	True	Windisch GSP; Winternitz GIL 1	Fr. Schlegel hatte seine Sanskritstudien, ebenso wie später Bopp, in Paris gemacht, "vom Frühjahr 1803—1804".
Friedrich Schlegel	studied_at	University of Leipzig				True	Windisch GSP	Friedrich lernte die Sakontala als neunzehnjähriger Student in Leipzig gleich bei ihrem Erscheinen kennen
G. B. Beaman	studied_at	University of Leipzig			1895	True	Winternitz GIL 3	G. B. Beaman, On the Sources of the Dharma-Śāstras of Manu and Yājñavalkya, Leipzig (Diss.) 1895
G. Herberich	studied_at	University of Würzburg			1893	True	Winternitz GIL 3	G. Herberich, Zitate aus Vṛddhamanu und Bṛhanmanu nach Sanskritwerken, Würzburg 1893, Diss.
Georg Curtius	studied_at	University of Berlin				True	Windisch GSP	Er hatte in Bonn und Berlin studiert.
Georg Curtius	studied_at	University of Bonn				True	Windisch GSP	Er hatte in Bonn und Berlin studiert.
Hans Jørgensen	studied_at	University of Kiel				True	Winternitz GIL 3	Der zweite Prapāṭhaka des Mantra-Brāhmaṇa ist herausgegeben und übersetzt von H. Jörgensen (Kieler Diss.), Darmstadt 1911.
Hans Wirtz	studied_at	University of Bonn			1894	False	Winternitz GIL 1	Hans Wirtz, Die westliche Rezension des Rāmāyaṇa. Inaug.-Diss. Bonn 1894.
Heinrich Schöhl	studied_at	University of Münster				False	Winternitz GIL 3	H. Schöhl, Die Strophen der Mādhavānalakathā (Diss. Münster), Halle a. S. 1914.
Heinrich Stönner	studied_at	University of Halle			1901	True	Winternitz GIL 1	Das Mantra-Brāhmaṇa. 1. Prapāṭhaka (Sanskrit und deutsch) von Heinrich Stönner. Halle a. S. 1901 (Inauguraldissertation).
Heinrich Wenzel	studied_at	University of Jena				True	Windisch GSP	studierte in Jena, Leipzig und Tübingen.
Heinrich Wenzel	studied_at	University of Leipzig				True	Windisch GSP	studierte in Jena, Leipzig und Tübingen.
Heinrich Wenzel	studied_at	University of Tübingen			1879	True	Windisch GSP	studierte in Jena, Leipzig und Tübingen. Seine Dissertation "Über den Instrumentalis im Rigveda", Tübingen 1879
Heinrich Zimmer	studied_at	University of Strasbourg				True	Windisch GSP	war im Sanskrit ein Schüler Goldschmidts in Straßburg
Heinrich Zimmer	studied_at	University of Tübingen		1870	1879	True	Windisch GSP	in denen K. Geldner, geb. 1852, R. Garbe, geb. 1857, B. Lindner, geb. 1853, H. Zimmer, geb. 1851, und der Schweizer A. Kaegi, geb. 1849, um Roths willen Tübingen aufgesucht haben.
Hermann Beckh	studied_at	University of Berlin			1907	True	Winternitz GIL 3	Beckh, Ein Beitrag zur Textkritik von Kālidāsas Meghadūta, Diss., Berlin 1907
Hermann Walter	studied_at	University of Munich			1893	True	Winternitz GIL 3	Aus dem Sanskrit übersetzt von Hermann Walter, München 1893, Diss.
Ivan Pavlovich Minaev	studied_at	University of Berlin		1863	1863	True	Windisch GSP	Minajeff, mit dem er 1863 in Berlin bei Weber studiert hatte
Jean-Louis Burnouf	studied_at	Collège d'Harcourt				True	Windisch GSP	Durch Gardin Dumesnil (Choix de Lettres S. 545) wurde er in das Collège d'Harcourt in Paris aufgenommen.
Jeannette M. van Gelder	studied_at	University of Leiden			1921	True	Winternitz GIL 3	Das Cayana des Mānava-Śrautasūtra ist kritisch herausgegeben von J. M. van Gelder, Leiden 1921, Diss.
Johannes Gildemeister	studied_at	University of Bonn				True	Windisch GSP	hat er in Göttingen und Bonn studiert
Johannes Gildemeister	studied_at	University of Göttingen				True	Windisch GSP	hat er in Göttingen und Bonn studiert
Johannes Hertel	studied_at	University of Leipzig		1897	1897	True	Winternitz GIL 3	Hertel, Über Text und Verfasser des Hitopadeša, Diss., Leipzig 1897
Johannes Klatt	studied_at	University of Halle			1873	True	Winternitz GIL 3	J. Klatt, De trecentis Cāṇakyae poetae Indici sententiis. Diss. Halis Saxonum, Berol. 1873
John Muir	studied_at	East India Company College				True	Windisch GSP	Gleichfalls ein Schüler des College zu Haileybury war der Schotte John Muir
Julius Eggeling	studied_at	University of Berlin				True	Windisch GSP	Nachdem er die Universitäten Breslau und Berlin besucht hatte
Julius Eggeling	studied_at	University of Breslau				True	Windisch GSP	Nachdem er die Universitäten Breslau und Berlin besucht hatte
Julius Laber	studied_at	University of Bonn			1913	True	Winternitz GIL 3	Jul. Laber, Über das Vajjālaggam des Jayavallabha, Bonner Diss., Leipzig 1913
Kaigyoku Watanabe	studied_at	University of Strasbourg			1912	False	Winternitz GIL 2	K. Watanabe, Die Bhadracarī, eine Probe buddhistisch-religiöser Lyrik, untersucht und herausgegeben (mit einer Übersetzung von E. Leumann), Leipzig 1912 (Straßburger Diss.).
Karl Florenz	studied_at	University of Göttingen			1887	True	Winternitz GIL 1	die ersten 50 Hymnen des VI. Buches C. A. Florenz (Göttingen 1887, Doktordissertation) ins Deutsche übersetzt.
Karl Friedrich Geldner	studied_at	University of Tübingen		1870	1879	True	Windisch GSP	in denen K. Geldner, geb. 1852, R. Garbe, geb. 1857, B. Lindner, geb. 1853, H. Zimmer, geb. 1851, und der Schweizer A. Kaegi, geb. 1849, um Roths willen Tübingen aufgesucht haben.
Karl Scriba	studied_at	University of Würzburg			1902	True	Winternitz GIL 3	K. Scriba, Die Fragmente des Pitāmaha, Text und Übersetzung, Leipzig 1902 (Würzburger Diss.).
Kenjiu Kasawara	studied_at	University of Oxford		1879		True	Windisch GSP	die buddhistischen Priester Bunyiu Nanjio und Kenjiu Kasawara veranlaßt worden, die 1879 nach Oxford gekommen waren, um Sanskrit zu studieren.
Louis Havet	studied_at	École Pratique des Hautes Études	élève			True	Windisch GSP	Sie ist ins Französische übersetzt worden von Havet, élève de l'École des Hautes Études
Ludwig Heller	studied_at	University of Göttingen			1894	False	Winternitz GIL 3	L. Heller, Halāyudhas Kavirahasya, Diss., Göttingen 1894
Max Lindenau	studied_at	University of Leipzig			1913	True	Winternitz GIL 3	Max Lindenau, Beiträge zur altindischen Rasalehre, mit besonderer Berücksichtigung des Nāṭyaśāstra des Bharata Muni. Diss. Leipzig 1913.
Monier Monier-Williams	studied_at	University of Oxford				True	Windisch GSP	Seine Sanskritstudien hat er in Oxford begonnen
Niels Ludvig Westergaard	studied_at	London (unspecified)				True	Windisch GSP	Seine schon in Kopenhagen begonnenen Sanskritstudien setzte er fort in Bonn, Paris, London und Oxford.
Niels Ludvig Westergaard	studied_at	Paris (unspecified)				True	Windisch GSP	Seine schon in Kopenhagen begonnenen Sanskritstudien setzte er fort in Bonn, Paris, London und Oxford.
Niels Ludvig Westergaard	studied_at	University of Bonn				True	Windisch GSP	Seine schon in Kopenhagen begonnenen Sanskritstudien setzte er fort in Bonn, Paris, London und Oxford.
Niels Ludvig Westergaard	studied_at	University of Copenhagen				True	Windisch GSP	Seine schon in Kopenhagen begonnenen Sanskritstudien setzte er fort in Bonn, Paris, London und Oxford.
Niels Ludvig Westergaard	studied_at	University of Oxford				True	Windisch GSP	Seine schon in Kopenhagen begonnenen Sanskritstudien setzte er fort in Bonn, Paris, London und Oxford.
Nikolai Dmitrievich Mironov	studied_at	University of Leipzig			1903	True	Winternitz GIL 2	N. Mironow, Die Dharmaparīkṣā des Amitagati. Diss. Leipzig 1903.
Othmar Frank	studied_at	London (unspecified)				True	Windisch GSP	Diese zweite Periode wurde heraufgeführt durch einen dreijährigen Studienaufenthalt in Paris und London
Othmar Frank	studied_at	Paris (unspecified)				True	Windisch GSP	Zwei Süddeutsche waren es, Othmar Frank und Franz Bopp, die nebeneinander in Paris, unterstützt von ihrer Regierung, dem Studium des Sanskrit oblagen
Otto von Böhtlingk	studied_at	University of Berlin				True	Windisch GSP	Er ging daher zunächst nach Berlin, von da nach Bonn.
Otto von Böhtlingk	studied_at	University of Bonn				True	Windisch GSP	Beide gingen bald von da nach Bonn.
Otto von Böhtlingk	studied_at	University of Saint Petersburg				True	Windisch GSP	Schon während seiner Studienzeit in Petersburg war ihm Bopps Glossarium und Grammatik in die Hände gekommen.
Paul Markus	studied_at	University of Leipzig			1886	True	Winternitz GIL 3	Paul Markus, Die Yoga-Philosophie nach dem Rājamārtaṇḍa dargestellt, Leipziger Diss., Halle a. S. 1886.
Paul Regnaud	studied_at	École Pratique des Hautes Études	élève			True	Windisch GSP	Paul Regnaud (élève de l'École des Hautes Études)
Paul Theodor Hoffmann	studied_at	University of Tübingen	doctoral candidate		1915	False	Winternitz GIL 3	P. Th. Hoffmann, Der indische und der deutsche Geist von Herder bis zur Romantik, Diss., Tübingen 1915
Peter von Bohlen	studied_at	University of Berlin				True	Windisch GSP	Student in Halle, Bonn und Berlin
Peter von Bohlen	studied_at	University of Bonn				True	Windisch GSP	Student in Halle, Bonn und Berlin
Peter von Bohlen	studied_at	University of Halle				True	Windisch GSP	Student in Halle, Bonn und Berlin
Peter von Bradke	studied_at	University of Leipzig			1882	True	Winternitz GIL 3	P. v. Bradke, Über das Mānava-Gṛhya-Sūtra, Leipzig (Diss.) 1882
Prabhu Dutt Shastri	studied_at	University of Kiel			1911	True	Winternitz GIL 3	Prabhu Dutt Shāstrī, The Doctrine of Māyā in the System of the Vedānta, London 1911 (Diss. Kiel)
R. Löbbecke	studied_at	University of Leipzig			1908	True	Winternitz GIL 3	R. Löbbecke, Über das Verhältnis der Brāhmaṇas und Śrautasūtren, Diss., Leipzig 1908.
Reinhold Rost	studied_at	University of Jena			1847	True	Windisch GSP	Er promovierte 1847 in Jena mit einer (ungedruckten) Arbeit über das Sinhalesische.
Richard Fick	studied_at	University of Kiel			1888	True	Winternitz GIL 2	R. Fick, Eine jainistische Bearbeitung der Sagara-Sage. Diss. Kiel 1888.
Richard Pischel	studied_at	University of Breslau			1870	True	Winternitz GIL 3	De Kâlidâsae Çâkuntali recensionibus, Diss., Breslau 1870
Richard von Garbe	studied_at	University of Tübingen		1870	1879	True	Windisch GSP	in denen K. Geldner, geb. 1852, R. Garbe, geb. 1857, B. Lindner, geb. 1853, H. Zimmer, geb. 1851, und der Schweizer A. Kaegi, geb. 1849, um Roths willen Tübingen aufgesucht haben.
Robert Zimmermann	studied_at	University of Berlin			1913	True	Winternitz GIL 3	R. Zimmermann, Die Quellen der Mahānārāyaṇa-Upaniṣad und das Verhältnis der verschiedenen Rezensionen zueinander. Diss. Berlin 1913
Rudolf Fuchs	studied_at	University of Berlin			1908	True	Winternitz GIL 2	Rudolf Fuchs, Specimen des Peṭakopadesa, Berlin, Diss., 1908.
Rudolf von Roth	studied_at	Paris (unspecified)		1843		True	Windisch GSP	begab sich 1843 nach Paris, von da nach London und Oxford.
Rudolf von Roth	studied_at	Tübinger Stift	Student der Theologie			True	Windisch GSP	war im Stift zu Tübingen Student der Theologie und wurde durch Ewald für das Sanskrit gewonnen.
Theodor Aufrecht	studied_at	University of Berlin				True	Windisch GSP	Er hat in Berlin studiert
Theodor Benfey	studied_at	University of Göttingen			1826	True	Windisch GSP	Er promovierte 1826 in Göttingen mit einer Dissertation "De Liguris"
Theodor Bloch	studied_at	University of Leipzig			1893	True	Winternitz GIL 3	Th. Bloch, Vararuci und Hemacandra, ein Beitrag zur Kritik und Geschichte der Prakrit-Grammatik, (Leipziger) Diss., Gütersloh 1893
Theodor Goldstücker	studied_at	University of Königsberg			1840	True	Windisch GSP	Nachdem er 1840 in Königsberg promoviert hatte
Tsurumatsu Tokiwai	studied_at	University of Strasbourg			1898	True	Winternitz GIL 2	Tsuru-Matsu Tokiwai, Studien zum Sumāgadhāvadāna, Diss. der Universität Straßburg 1898
Tukaram K. Laddu	studied_at	University of Halle			1912	True	Winternitz GIL 3	Tukaram Laddu, Prolegomena zu Trivikramas Prākrit-Grammatik. Diss. Halle 1912.
Unrai Wogihara	studied_at	University of Strasbourg			1908	False	Winternitz GIL 2	Unrai Wogihara, Asaṅga's Bodhisattvabhūmi, Straßburger Diss., Leipzig 1908.
Wilhelm Heymann	studied_at	University of Göttingen			1873	True	Windisch GSP	in der Göttinger Dissertation "Das l der indogermanischen Sprachen gehört der indogermanischen Grundsprache an" von Wilhelm Heymann, Weimar 1873
Wilhelm Jahn	studied_at	University of Leipzig			1904	True	Winternitz GIL 3	W. Jahn, Über die kosmogonischen Grundanschauungen im Mānava-Dharma-Śāstram, Leipzig 1904, Diss.
Wilhelm Pertsch	studied_at	University of Berlin			1854	True	Windisch GSP	deren Particula Prior Pertschs Doktordissertation war, Berlin 1854.
William Dwight Whitney	studied_at	University of Berlin		1850	1852	True	Windisch GSP	Die Jahre 1850 bis 1852 brachte er in Deutschland zu, drei Winter in Berlin, zwei Sommer in Tübingen.
William Dwight Whitney	studied_at	University of Tübingen		1850	1852	True	Windisch GSP	Die Jahre 1850 bis 1852 brachte er in Deutschland zu, drei Winter in Berlin, zwei Sommer in Tübingen.
Willibald Kirfel	studied_at	University of Bonn			1908	True	Winternitz GIL 3	W. Kirfel, Beiträge zur Geschichte der Nominalkomposition in den Upaniṣads und im Epos. Diss. Bonn 1908
Adolphe Regnier	succeeded	Jean-Louis Burnouf	Professur für éloquence latine			True	Windisch GSP	kann mit Jean Louis Burnouf verglichen werden, dessen Nachfolger in der Professur für »éloquence latine« am Collège de France er wurde.
Edward Granville Browne	succeeded	Charles Rieu	Adams Professor of Arabic			True	Windisch GSP	Sein Nachfolger in dieser Professur, Edward G. Browne, hat ihm im Journal der RAS. 1902 S. 718 ff. einen warmen Nekrolog gewidmet.
Ernst Haas	succeeded	Julius Eggeling		1875		True	Windisch GSP	wo er der Nachfolger von Rosen, Goldstücker, Eggeling war.
Ernst Kuhn	succeeded	Adalbert Kuhn	Herausgeber			True	Windisch GSP	An die Stelle von Adalbert Kuhn ist sein Sohn Ernst Kuhn getreten.
